mode,case,p1_MeV,T_gamma_MeV,target,category,quantity,total,support,domain,unsupported,corrected,kink,all_masks_exact,negative_M_T_in_route,cap,global_relative,global_scale,max_absolute,max_absolute_index,samples,worst_actual_bits,worst_expected_bits,worst_local_index,worst_local_relative
same_input,1,0.75,0.4,nu_mu,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,5.076738769933888e-15,0.0,0,27648,3ad5c0577cd42c09,3ad5c0577cd42c09,0,0.0
same_input,1,0.75,0.4,nu_mu,elastic_minus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,nu_mu,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7162,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,nu_mu,elastic_plus,M,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,1.012765548903505e-15,0.0,0,27648,3b615807c17f324d,3b615807c17f324d,0,0.0
same_input,1,0.75,0.4,nu_mu,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,5.0632060649962675e-15,0.0,0,27648,3ad16d217ea9d95c,3ad16d217ea9d95c,0,0.0
same_input,1,0.75,0.4,nu_mu,elastic_plus,W,27648,27648,27648,0,0,0,True,7152,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,nu_mu,elastic_plus,W_T,27648,27648,27648,0,0,0,True,7152,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_mu,elastic_minus,M,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,1.012765548903505e-15,0.0,0,27648,3b615807c17f324d,3b615807c17f324d,0,0.0
same_input,1,0.75,0.4,antinu_mu,elastic_minus,M_T,27648,27648,27648,0,0,0,True,7152,1e-07,0.0,5.0632060649962675e-15,0.0,0,27648,3ad16d217ea9d95c,3ad16d217ea9d95c,0,0.0
same_input,1,0.75,0.4,antinu_mu,elastic_minus,W,27648,27648,27648,0,0,0,True,7152,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
same_input,1,0.75,0.4,antinu_mu,elastic_minus,W_T,27648,27648,27648,0,0,0,True,7152,1e-07,6.272555561628089e-16,14.159753723561947,8.881784197001252e-15,27284,27648,402a8a6a49b0e927,402a8a6a49b0e92c,20896,8.907585132966509e-16
same_input,1,0.75,0.4,antinu_mu,elastic_plus,M,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,1.0154400029712473e-15,0.0,0,27648,3b64bab90c1f239b,3b64bab90c1f239b,0,0.0
same_input,1,0.75,0.4,antinu_mu,elastic_plus,M_T,27648,27648,27648,0,0,0,True,7162,1e-07,0.0,5.076738769933888e-15,0.0,0,27648,3ad5c0577cd42c09,3ad5c0577cd42c09,0,0.0
same_input,1,0.75,0.4,antinu_mu,elastic_plus,W,27648,27648,27648,0,0,0,True,7162,1e-07,1.56832579024848e-16,2.831613256705437,4.440892098500626e-16,27232,27648,4001501997d32067,4001501997d32068,14356,4.3996545180030203e-16
